央视卫视,#genre#
芒果TV,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8
芒果4K,http://39.135.225.11:18890/PLTV/88888888/224/3221226887/index.m3u8
爱上4k,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
BesTV4K,http://112.17.40.140/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K,http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
百视通4K,http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
BEST电影,http://101.71.255.229:6610/zjhs/2/10052/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV4K,http://111.161.121.214/livews-4k.5club.cctv.cn/live/4K.stream/playlist.m3u8
CCTV4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
纯享4K,http://39.134.156.15/PLTV/88888888/224/3221225670/index.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV-1综合,http://117.169.72.135:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-2财经,http://117.169.72.135:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV-3综艺,http://117.169.72.135:8080/PLTV/88888888/224/3221225632/index.m3u8
CCTV-4中文国际,http://117.169.72.135:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV-2财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV-3综艺,http://111.40.205.87/PLTV/88888888/224/3221225606/index.m3u8
CCTV-4中文国际,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-5体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
CCTV-体育赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV-6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-7国防军事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
CCTV-8电视剧,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
