央视频道  ,#genre#

CCTV1,http://39.134.39.4/PLTV/88888888/224/3221226247/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221225804/index.m3u8
CCTV1,http://117.136.156.37/PLTV/88888888/224/3221225499/index.m3u8
CETV1,http://39.134.39.4/PLTV/88888888/224/3221226282/index.m3u8
CETV1,http://117.136.156.37/PLTV/88888888/224/3221225701/index.m3u8
CCTV1,http://39.134.66.2/PLTV/88888888/224/3221225601/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226195/index.m3u8
CCTV2,http://39.134.66.2/PLTV/88888888/224/3221225691/index.m3u8
CCTV2,http://39.134.39.4/PLTV/88888888/224/3221226220/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://117.136.156.37/PLTV/88888888/224/3221225502/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226397/index.m3u8
CCTV3,http://112.17.40.6/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230740/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.39.4/PLTV/88888888/224/3221226251/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226191/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.39.4/PLTV/88888888/224/3221226146/index.m3u8
CCTV5,http://39.134.66.2/PLTV/88888888/224/3221225606/index.m3u8
CCTV5+,http://117.136.156.37/PLTV/88888888/224/3221225512/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225711/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://39.134.39.4/PLTV/88888888/224/3221226253/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221225761/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV5,http://112.17.40.6/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230734/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226393/index.m3u8
CCTV6,http://112.17.40.6/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.39.4/PLTV/88888888/224/3221226226/index.m3u8
CCTV7,http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226192/index.m3u8
CCTV7,http://117.136.156.37/PLTV/88888888/224/3221225504/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://39.134.39.4/PLTV/88888888/224/3221226255/index.m3u8
CCTV8,http://112.17.40.6/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.39.4/PLTV/88888888/224/3221226150/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226391/index.m3u8
CCTV9,http://39.134.66.2/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226197/index.m3u8
CCTV9,http://117.136.156.37/PLTV/88888888/224/3221225507/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://39.134.39.4/PLTV/88888888/224/3221226259/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://39.134.39.4/PLTV/88888888/224/3221226164/index.m3u8
CCTV10,http://39.134.66.2/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226189/index.m3u8
CCTV10,http://117.136.156.37/PLTV/88888888/224/3221225503/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11,http://117.136.156.37/PLTV/88888888/224/3221225506/index.m3u8
CCTV11,http://39.134.39.4/PLTV/88888888/224/3221226261/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226190/index.m3u8
CCTV12,http://39.134.39.4/PLTV/88888888/224/3221226230/index.m3u8
CCTV12,http://39.134.66.2/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.39.4/PLTV/88888888/224/3221226149/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://117.136.156.37/PLTV/88888888/224/3221225510/index.m3u8
CCTV13,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230877/01.m3u8?fmt=ts2hls
CCTV14,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226193/index.m3u8
CCTV14,http://39.134.66.2/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://39.134.39.4/PLTV/88888888/224/3221226232/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226198/index.m3u8
CCTV17,http://39.134.66.2/PLTV/88888888/224/3221225708/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CHC高清电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
