央视频道,#genre#
CCTV-1综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3综艺,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5体育,http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6电影,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8电视剧,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9记录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10科技,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-17农业农村,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
卫视频道,#genre#
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000021/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000034/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000031/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000041/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
凤凰卫视中文台,http://112.17.40.139:80/PLTV/88888888/224/3221226368/index.m3u8?icpid=88888888&from=30&hms_devid=1452
凤凰资讯台,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
省内频道,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000313/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东公共,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东国际,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
淄博公共高清,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
邹城新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
郓城新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
青州综合高清,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
青州文化旅游高清,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
岚山频道高清,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
寿光蔬菜高清,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
济宁新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
聊城茌平高清,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
乳山TV1高清,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
兖州新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
荣成综合高清,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
齐河新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
新闻综合高清,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
综艺影视高清,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
禹城综合高清,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺高清,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
PY新闻高清,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
莱西综合高清,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
夏津综合高清,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
