联通组播频道,#genre#
央视频道,#genre#
CCTV-1综合,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/89103_Uni.sdp
CCTV-2财经,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/88995_Uni.sdp
CCTV-3综艺,http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8
CCTV-3综艺,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814165876183439.rsc/89098_Uni.sdp
CCTV-4中文国际,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/89110_Uni.sdp
CCTV-5体育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814173650174727.rsc/89081_Uni.sdp
CCTV-体育赛事,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/89133_Uni.sdp
CCTV-6电影,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8
CCTV-6电影,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814181257469325.rsc/89108_Uni.sdp
CCTV-7国防军事,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/88994_Uni.sdp
CCTV-8电视剧,http://39.135.135.10:80/PLTV/88888888/224/3221225485/index.m3u8?icpid=88888888&from=1&hms_devid=145,702&vqe=3
CCTV-8电视剧,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814184171314624.rsc/89034_Uni.sdp
CCTV-9记录,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/89073_Uni.sdp
CCTV-10科技,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/88998_Uni.sdp
CCTV-11戏曲,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/89074_Uni.sdp
CCTV-12社会与法,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/89000_Uni.sdp
CCTV-13新闻,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/89053_Uni.sdp
CCTV-14少儿,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/88993_Uni.sdp
CCTV-15音乐,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/89013_Uni.sdp
CCTV-17农业农村,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/89017_Uni.sdp
CCTV-1综合,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8380729188125675257/1.m3u8?stbId=005301FF001589101611549359B92C46&channel-id=shvoolive&Contentid=8380729188125675257&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8380729188125675257&owchid=shvoolive&owsid=9810361579531242552&AuthInfo=2TOfGIahP4HrGWrHbpJXVOhAZZf%2B%2BRvFCOimr7PCGr9K%2B8TGA2jGwhx%2FP%2B9zbDc6lyCFd7nUPkjV5yhX4M591q%2Bjz%2FVPZBSXzMBonFGRPep2MwYhKpmBifYKbDBIkjbE
CCTV-2财经,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9059700522149664924/1.m3u8?stbId=005301FF00158910000000212621A0DD&channel-id=shvoolive&Contentid=9059700522149664924&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9059700522149664924&owchid=shvoolive&owsid=9176631579531299298&AuthInfo=2TOfGIahP4HrGWrHbpJXVOJq5SVvpOdgyIf7tzyuJqdYhL2umVWk4VA%2BiWro6vS%2FGYbJQ4PkF2oGSeOSrHR8kErWftutbDOGxkGeSWuC8HvRlxrsJs3srD2VEDgCtlA%2B
