央视频道,#genre#
CCTV-1综合,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/89103_Uni.sdp
CCTV-2财经,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/88995_Uni.sdp
CCTV-3综艺,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814165876183439.rsc/89098_Uni.sdp
CCTV-4中文国际,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/89110_Uni.sdp
CCTV-5体育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814173650174727.rsc/89081_Uni.sdp
CCTV-体育赛事,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/89133_Uni.sdp
CCTV-6电影,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814181257469325.rsc/89108_Uni.sdp
CCTV-7国防军事,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/88994_Uni.sdp
CCTV-8电视剧,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814184171314624.rsc/89034_Uni.sdp
CCTV-9记录,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/89073_Uni.sdp
CCTV-10科技,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/88998_Uni.sdp
CCTV-11戏曲,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/89074_Uni.sdp
CCTV-12社会与法,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/89000_Uni.sdp
CCTV-13新闻,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/89053_Uni.sdp
CCTV-14少儿,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/88993_Uni.sdp
CCTV-15音乐,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/89013_Uni.sdp
CCTV-17农业农村,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/89017_Uni.sdp
卫视频道,#genre#
山东卫视,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/89070_Uni.sdp
湖南卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch12051116352384581471.rsc/89115_Uni.sdp
浙江卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541521964962.rsc/89084_Uni.sdp
上海东方卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541568689826.rsc/89038_Uni.sdp
江苏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116384379542816.rsc/89099_Uni.sdp
北京卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116365437815794.rsc/89064_Uni.sdp
安徽卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541532308683.rsc/89031_Uni.sdp
天津卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541659846769.rsc/89129_Uni.sdp
辽宁卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541756096231.rsc/89054_Uni.sdp
深圳卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116392957055081.rsc/89107_Uni.sdp
东南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17082318094203998689.rsc/89065_Uni.sdp
湖北卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541519800547.rsc/89123_Uni.sdp
广东卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541650823873.rsc/89112_Uni.sdp
黑龙江卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116400952898093.rsc/89019_Uni.sdp
贵州卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17121814402415050847.rsc/89006_Uni.sdp
河北卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814385494126166.rsc/89035_Uni.sdp
重庆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118293449046768.rsc/89024_Uni.sdp
海南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116181598810422.rsc/89022_Uni.sdp
四川卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400393964414144.rsc/89015_Uni.sdp
云南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/89067_Uni.sdp
河南卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118312827983078.rsc/89029_Uni.sdp
江西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118345500084693.rsc/89056_Uni.sdp
广西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120114524702485505.rsc/89002_Uni.sdp
吉林卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120116035123677506.rsc/89106_Uni.sdp
山西卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118303484157828.rsc/89037_Uni.sdp
陕西卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/89046_Uni.sdp
内蒙古卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/89068_Uni.sdp
宁夏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118321878054010.rsc/89118_Uni.sdp
新疆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/89023_Uni.sdp
甘肃卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118361020628945.rsc/89048_Uni.sdp
青海卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/89097_Uni.sdp
西藏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/89061_Uni.sdp
厦门卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/89021_Uni.sdp
兵团卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/89008_Uni.sdp
农林卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118335748437793.rsc/89028_Uni.sdp
三沙卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89555_Uni.sdp
省内频道,#genre#
齐鲁卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/89114_Uni.sdp
山东影视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120117133527564831.rsc/89077_Uni.sdp
山东生活,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/89105_Uni.sdp
山东综艺,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/89009_Uni.sdp
山东体育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/89127_Uni.sdp
山东公共,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/89036_Uni.sdp
山东农科,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/89018_Uni.sdp
山东少儿,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815083626567264.rsc/89117_Uni.sdp
山东教育卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118342495301658.rsc/89080_Uni.sdp
山东国际,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11030814464103605404.rsc/89072_Uni.sdp
临沂新闻,rtsp://60.213.55.203:1554/iptv/import/Tvod/iptv/001/001/ch15111215111453039260.rsc/76977_Uni.sdp
临沂公共,rtsp://60.213.55.203:1554/iptv/import/Tvod/iptv/001/001/ch17060116035423523106.rsc/77038_Uni.sdp
临沂农科,rtsp://60.213.55.203:1554/iptv/import/Tvod/iptv/001/001/ch15111716392179568846.rsc/77049_Uni.sdp
兰陵综合,rtsp://60.213.55.203:1554/iptv/import/Tvod/iptv/001/001/ch20062813291405027485.rsc/90376_Uni.sdp
济南都市,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911092949699520.rsc/89059_Uni.sdp
济南生活,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911100548545353.rsc/89004_Uni.sdp
济南影视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911103630864304.rsc/89025_Uni.sdp
济南娱乐,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911112795044370.rsc/89091_Uni.sdp
济南商务,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13032214555250188130.rsc/89010_Uni.sdp
济南少儿,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911120057744658.rsc/89111_Uni.sdp
济南教育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch18011914441082767208.rsc/89030_Uni.sdp
济南鲁中,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch16080416243269372727.rsc/89086_Uni.sdp
济南科教,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16080416264440891314.rsc/89050_Uni.sdp
济南新闻综合,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092921272839762982.rsc/89042_Uni.sdp
德州新闻,rtsp://222.133.46.75/PLTV/88888888/224/3221226070/10000100000000060000000000354088_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EToSzDX33rDBdS0CWhtZPqA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000290%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
德州公共,rtsp://222.133.46.75/PLTV/88888888/224/3221226071/10000100000000060000000000354087_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EZOHHuUKbDOa7UKxZg7Y3mA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000291%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
齐河综合,rtsp://222.133.46.75/PLTV/88888888/224/3221226909/10000100000000060000000002608320_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EkiTtmi-zNsPDImnc7IlPHA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000434%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
禹城综合,rtsp://222.133.46.75/PLTV/88888888/224/3221226940/10000100000000060000000002660569_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Ew_3hE-DOjVCRFAyIQdAvUw%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000440%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
